vehicle_id,driver_id,make,model,year,licence_plate,color,is_active
61,61,Honda,Civic,2020,DA00061,Black,True
62,62,Ford,Focus,2018,DA00062,Blue,True
63,63,Hyundai,Civic,2022,DA00063,Black,True
64,64,Honda,Focus,2023,DA00064,Black,True
65,65,Ford,Focus,2023,DA00065,White,True
66,66,Honda,Elantra,2018,DA00066,Blue,True
67,67,Honda,Corolla,2016,DA00067,Blue,True
68,68,Honda,Civic,2024,DA00068,White,True
69,69,Hyundai,Elantra,2023,DA00069,Silver,True
70,70,Hyundai,Elantra,2020,DA00070,Black,True
71,71,Hyundai,Elantra,2017,DA00071,Black,True
72,72,Hyundai,Focus,2015,DA00072,Blue,True
73,73,Toyota,Corolla,2023,DA00073,Silver,True
74,74,Hyundai,Focus,2024,DA00074,Silver,True
75,75,Hyundai,Focus,2024,DA00075,White,True
76,76,Toyota,Civic,2020,DA00076,Blue,True
77,77,Ford,Focus,2015,DA00077,White,True
78,78,Honda,Civic,2023,DA00078,Black,True
79,79,Toyota,Corolla,2021,DA00079,White,True
80,80,Ford,Civic,2023,DA00080,Silver,True
81,81,Honda,Civic,2021,DA00081,Silver,True
82,82,Honda,Civic,2022,DA00082,White,True
83,83,Hyundai,Civic,2019,DA00083,Silver,True
84,84,Ford,Focus,2018,DA00084,Black,False
85,85,Ford,Focus,2022,DA00085,Blue,True
86,86,Ford,Civic,2019,DA00086,Blue,True
87,87,Ford,Civic,2023,DA00087,White,True
88,88,Honda,Corolla,2017,DA00088,Silver,True
89,89,Honda,Elantra,2018,DA00089,Black,True
90,90,Ford,Elantra,2023,DA00090,Blue,True
91,91,Toyota,Elantra,2015,DA00091,White,True
92,92,Ford,Civic,2022,DA00092,Blue,True
93,93,Toyota,Elantra,2024,DA00093,Silver,False
94,94,Ford,Corolla,2021,DA00094,Black,True
95,95,Hyundai,Elantra,2020,DA00095,Silver,True
96,96,Honda,Corolla,2021,DA00096,Silver,True
97,97,Toyota,Focus,2016,DA00097,White,True
98,98,Toyota,Focus,2018,DA00098,Blue,True
99,99,Honda,Focus,2024,DA00099,Blue,False
100,100,Toyota,Civic,2023,DA00100,White,False
101,101,Hyundai,Civic,2021,DA00101,White,True
102,102,Toyota,Corolla,2024,DA00102,White,True
103,103,Toyota,Corolla,2023,DA00103,Black,True
104,104,Hyundai,Corolla,2016,DA00104,Blue,True
105,105,Toyota,Civic,2022,DA00105,Silver,True
106,106,Toyota,Civic,2023,DA00106,Black,True
107,107,Hyundai,Elantra,2020,DA00107,White,True
108,108,Honda,Focus,2024,DA00108,Black,True
109,109,Honda,Corolla,2023,DA00109,Black,True
110,110,Hyundai,Elantra,2020,DA00110,Black,True
111,111,Hyundai,Corolla,2016,DA00111,White,True
112,112,Hyundai,Focus,2024,DA00112,White,True
113,113,Ford,Corolla,2022,DA00113,Blue,True
114,114,Ford,Focus,2024,DA00114,White,True
115,115,Hyundai,Focus,2016,DA00115,Black,True
116,116,Honda,Focus,2021,DA00116,Blue,True
117,117,Ford,Civic,2021,DA00117,White,True
118,118,Hyundai,Corolla,2022,DA00118,Black,True
119,119,Ford,Corolla,2021,DA00119,White,True
120,120,Honda,Focus,2016,DA00120,White,True
121,121,Toyota,Corolla,2018,DA00121,Silver,True
122,122,Hyundai,Focus,2024,DA00122,Blue,True
123,123,Hyundai,Focus,2022,DA00123,Silver,True
124,124,Ford,Elantra,2020,DA00124,Silver,True
125,125,Honda,Civic,2023,DA00125,Blue,True
126,126,Honda,Civic,2017,DA00126,Silver,True
127,127,Hyundai,Elantra,2019,DA00127,Black,True
128,128,Ford,Civic,2018,DA00128,Black,True
129,129,Honda,Focus,2021,DA00129,Silver,False
130,130,Hyundai,Focus,2021,DA00130,Blue,True
131,131,Honda,Elantra,2019,DA00131,Silver,True
132,132,Hyundai,Civic,2018,DA00132,Silver,True
133,133,Ford,Corolla,2023,DA00133,White,True
134,134,Toyota,Civic,2021,DA00134,Silver,True
135,135,Honda,Elantra,2021,DA00135,Blue,True
136,136,Honda,Civic,2021,DA00136,Blue,True
137,137,Honda,Corolla,2018,DA00137,Blue,True
138,138,Hyundai,Elantra,2019,DA00138,Silver,True
139,139,Toyota,Focus,2018,DA00139,Blue,True
140,140,Toyota,Corolla,2015,DA00140,Black,True
141,141,Ford,Civic,2024,DA00141,White,True
142,142,Honda,Elantra,2016,DA00142,Blue,True
143,143,Honda,Civic,2018,DA00143,Black,True
144,144,Hyundai,Elantra,2021,DA00144,Silver,True
145,145,Ford,Civic,2023,DA00145,Silver,True
146,146,Hyundai,Elantra,2023,DA00146,Silver,True
147,147,Hyundai,Focus,2022,DA00147,Blue,True
148,148,Ford,Civic,2022,DA00148,Silver,True
149,149,Toyota,Elantra,2024,DA00149,White,True
150,150,Ford,Civic,2015,DA00150,White,True
151,151,Hyundai,Elantra,2021,DA00151,Blue,True
152,152,Ford,Corolla,2015,DA00152,Black,True
153,153,Hyundai,Focus,2015,DA00153,White,True
154,154,Ford,Corolla,2019,DA00154,Black,True
155,155,Honda,Civic,2022,DA00155,Blue,True
156,156,Toyota,Corolla,2018,DA00156,Silver,True
157,157,Ford,Focus,2022,DA00157,Blue,False
158,158,Hyundai,Civic,2015,DA00158,Silver,True
159,159,Honda,Elantra,2015,DA00159,Silver,True
160,160,Honda,Elantra,2023,DA00160,Blue,True
161,161,Honda,Elantra,2021,DA00161,Blue,True
162,162,Toyota,Corolla,2020,DA00162,Silver,True
163,163,Hyundai,Civic,2019,DA00163,White,True
164,164,Toyota,Focus,2018,DA00164,White,True
165,165,Ford,Focus,2018,DA00165,Black,True
166,166,Toyota,Civic,2023,DA00166,Silver,True
167,167,Toyota,Focus,2015,DA00167,Black,True
168,168,Ford,Civic,2022,DA00168,Black,True
169,169,Ford,Corolla,2018,DA00169,Blue,True
170,170,Honda,Civic,2018,DA00170,Silver,True
171,171,Honda,Focus,2016,DA00171,Silver,True
172,172,Hyundai,Civic,2023,DA00172,Blue,True
173,173,Hyundai,Corolla,2016,DA00173,Blue,True
174,174,Hyundai,Focus,2017,DA00174,White,True
175,175,Toyota,Elantra,2017,DA00175,Blue,True
176,176,Honda,Civic,2020,DA00176,Black,True
177,177,Ford,Civic,2022,DA00177,Blue,True
178,178,Honda,Corolla,2019,DA00178,Black,True
179,179,Ford,Elantra,2016,DA00179,Blue,True
180,180,Ford,Civic,2024,DA00180,Blue,True
181,181,Hyundai,Civic,2019,DA00181,Silver,True
182,182,Hyundai,Focus,2023,DA00182,Blue,True
183,183,Hyundai,Corolla,2018,DA00183,Blue,True
184,184,Hyundai,Elantra,2016,DA00184,Blue,True
185,185,Toyota,Corolla,2024,DA00185,Black,True
186,186,Hyundai,Civic,2022,DA00186,Black,False
187,187,Honda,Elantra,2024,DA00187,Blue,True
188,188,Ford,Focus,2020,DA00188,White,True
189,189,Ford,Corolla,2015,DA00189,Black,True
190,190,Hyundai,Civic,2021,DA00190,Silver,True
191,191,Ford,Focus,2024,DA00191,Black,True
192,192,Hyundai,Focus,2024,DA00192,Blue,True
193,193,Honda,Corolla,2015,DA00193,White,True
194,194,Honda,Corolla,2021,DA00194,Blue,True
195,195,Toyota,Corolla,2022,DA00195,Silver,True
196,196,Hyundai,Focus,2019,DA00196,Silver,True
197,197,Hyundai,Focus,2018,DA00197,Black,True
198,198,Ford,Elantra,2019,DA00198,White,False
199,199,Toyota,Corolla,2017,DA00199,White,True
200,200,Hyundai,Focus,2015,DA00200,Silver,False
201,201,Honda,Elantra,2021,DA00201,Silver,True
202,202,Ford,Civic,2024,DA00202,Silver,True
203,203,Ford,Focus,2022,DA00203,White,True
204,204,Honda,Elantra,2021,DA00204,White,True
205,205,Ford,Elantra,2022,DA00205,Blue,False
206,206,Honda,Civic,2022,DA00206,Black,False
207,207,Honda,Focus,2020,DA00207,Blue,True
208,208,Hyundai,Corolla,2024,DA00208,Blue,True
209,209,Honda,Corolla,2024,DA00209,White,True
210,210,Honda,Corolla,2023,DA00210,Blue,True
211,211,Honda,Elantra,2023,DA00211,White,True
212,212,Toyota,Elantra,2018,DA00212,Blue,True
213,213,Toyota,Elantra,2020,DA00213,White,True
214,214,Honda,Focus,2015,DA00214,Blue,True
215,215,Honda,Elantra,2023,DA00215,Blue,True
216,216,Ford,Corolla,2016,DA00216,Black,True
217,217,Ford,Elantra,2015,DA00217,White,True
218,218,Ford,Corolla,2024,DA00218,Silver,False
219,219,Hyundai,Elantra,2017,DA00219,White,True
220,220,Hyundai,Corolla,2023,DA00220,Black,True
221,221,Hyundai,Elantra,2022,DA00221,Blue,True
222,222,Hyundai,Elantra,2022,DA00222,White,True
223,223,Hyundai,Civic,2023,DA00223,Black,True
224,224,Toyota,Focus,2024,DA00224,Blue,True
225,225,Hyundai,Corolla,2018,DA00225,Black,True
226,226,Hyundai,Focus,2015,DA00226,Blue,True
227,227,Ford,Corolla,2021,DA00227,Black,False
228,228,Honda,Corolla,2017,DA00228,Silver,True
229,229,Hyundai,Elantra,2018,DA00229,Blue,True
230,230,Ford,Civic,2024,DA00230,Blue,True
231,231,Toyota,Corolla,2017,DA00231,Silver,False
232,232,Honda,Focus,2022,DA00232,White,True
233,233,Hyundai,Corolla,2024,DA00233,Silver,True
234,234,Honda,Elantra,2023,DA00234,Silver,False
235,235,Hyundai,Corolla,2023,DA00235,Silver,True
236,236,Ford,Civic,2015,DA00236,Blue,True
237,237,Honda,Focus,2020,DA00237,Black,True
238,238,Toyota,Focus,2024,DA00238,Black,True
239,239,Hyundai,Corolla,2020,DA00239,Blue,True
240,240,Honda,Focus,2020,DA00240,White,True
241,241,Ford,Elantra,2016,DA00241,Black,True
242,242,Hyundai,Elantra,2017,DA00242,White,True
243,243,Hyundai,Focus,2021,DA00243,Black,True
244,244,Ford,Corolla,2018,DA00244,Black,False
245,245,Hyundai,Civic,2017,DA00245,Blue,True
246,246,Toyota,Elantra,2021,DA00246,Blue,True
247,247,Hyundai,Corolla,2023,DA00247,Black,True
248,248,Toyota,Focus,2020,DA00248,White,True
249,249,Hyundai,Civic,2016,DA00249,Blue,True
250,250,Toyota,Corolla,2015,DA00250,Blue,True
251,251,Toyota,Civic,2015,DA00251,Blue,True
252,252,Toyota,Focus,2020,DA00252,Silver,True
253,253,Honda,Corolla,2017,DA00253,Silver,True
254,254,Ford,Elantra,2020,DA00254,White,True
255,255,Honda,Civic,2019,DA00255,Silver,True
256,256,Toyota,Corolla,2024,DA00256,Silver,True
257,257,Hyundai,Elantra,2024,DA00257,White,True
258,258,Toyota,Corolla,2023,DA00258,Black,True
259,259,Ford,Civic,2022,DA00259,Black,True
260,260,Hyundai,Focus,2016,DA00260,Black,True
261,261,Honda,Elantra,2016,DA00261,Black,True
262,262,Hyundai,Focus,2015,DA00262,Black,False
263,263,Honda,Civic,2021,DA00263,White,True
264,264,Honda,Civic,2019,DA00264,Silver,True
265,265,Hyundai,Elantra,2017,DA00265,White,False
266,266,Honda,Focus,2015,DA00266,Silver,True
267,267,Ford,Civic,2020,DA00267,Blue,True
268,268,Honda,Civic,2024,DA00268,Black,True
269,269,Hyundai,Civic,2019,DA00269,Silver,True
270,270,Hyundai,Focus,2019,DA00270,Black,True
271,271,Ford,Focus,2015,DA00271,White,True
272,272,Hyundai,Focus,2019,DA00272,Blue,False
273,273,Honda,Elantra,2015,DA00273,Silver,True
274,274,Hyundai,Focus,2023,DA00274,Blue,False
275,275,Hyundai,Elantra,2017,DA00275,White,False
276,276,Toyota,Focus,2021,DA00276,Black,True
277,277,Ford,Focus,2021,DA00277,Black,True
278,278,Toyota,Corolla,2018,DA00278,Silver,False
279,279,Hyundai,Focus,2021,DA00279,Blue,True
280,280,Ford,Civic,2020,DA00280,Black,True
281,281,Ford,Focus,2022,DA00281,Blue,True
282,282,Honda,Elantra,2024,DA00282,White,True
283,283,Ford,Elantra,2019,DA00283,White,True
284,284,Toyota,Corolla,2020,DA00284,White,True
285,285,Hyundai,Civic,2024,DA00285,Black,False
286,286,Hyundai,Elantra,2019,DA00286,Blue,False
287,287,Ford,Corolla,2019,DA00287,White,True
288,288,Toyota,Civic,2024,DA00288,Black,True
289,289,Hyundai,Corolla,2018,DA00289,Blue,True
290,290,Toyota,Corolla,2018,DA00290,Black,True
291,291,Honda,Civic,2019,DA00291,Silver,True
292,292,Honda,Elantra,2023,DA00292,Black,True
293,293,Hyundai,Corolla,2018,DA00293,White,True
294,294,Ford,Corolla,2020,DA00294,Blue,True
295,295,Hyundai,Elantra,2023,DA00295,Black,True
296,296,Ford,Civic,2015,DA00296,Black,True
297,297,Ford,Corolla,2023,DA00297,Black,True
298,298,Ford,Civic,2016,DA00298,Silver,True
299,299,Ford,Elantra,2023,DA00299,Black,True
300,300,Toyota,Elantra,2022,DA00300,Silver,True
301,301,Toyota,Focus,2023,DA00301,Black,True
302,302,Toyota,Focus,2019,DA00302,Blue,True
303,303,Ford,Focus,2016,DA00303,Blue,True
304,304,Toyota,Elantra,2020,DA00304,Blue,True
305,305,Hyundai,Elantra,2021,DA00305,Silver,True
306,306,Ford,Focus,2018,DA00306,Blue,True
307,307,Hyundai,Elantra,2021,DA00307,Silver,True
308,308,Ford,Civic,2017,DA00308,White,True
309,309,Honda,Corolla,2023,DA00309,Black,True
310,310,Honda,Corolla,2021,DA00310,Blue,True
311,311,Ford,Civic,2023,DA00311,Blue,True
312,312,Hyundai,Corolla,2023,DA00312,White,True
313,313,Ford,Civic,2020,DA00313,White,True
314,314,Ford,Civic,2018,DA00314,Black,True
315,315,Honda,Focus,2021,DA00315,Black,True
316,316,Hyundai,Civic,2017,DA00316,Blue,True
317,317,Hyundai,Corolla,2019,DA00317,Silver,True
318,318,Honda,Elantra,2017,DA00318,White,True
319,319,Toyota,Elantra,2021,DA00319,Black,True
320,320,Hyundai,Corolla,2017,DA00320,Silver,True
321,321,Ford,Focus,2018,DA00321,Black,True
322,322,Ford,Elantra,2019,DA00322,Black,True
323,323,Ford,Elantra,2019,DA00323,Black,True
324,324,Honda,Elantra,2017,DA00324,Blue,True
325,325,Hyundai,Focus,2021,DA00325,Silver,True
326,326,Toyota,Elantra,2016,DA00326,White,True
327,327,Ford,Corolla,2020,DA00327,Black,True
328,328,Toyota,Focus,2019,DA00328,Silver,True
329,329,Honda,Focus,2016,DA00329,Silver,True
330,330,Hyundai,Corolla,2019,DA00330,Silver,False
331,331,Hyundai,Civic,2022,DA00331,Black,True
332,332,Hyundai,Focus,2024,DA00332,Black,True
333,333,Ford,Corolla,2018,DA00333,Blue,True
334,334,Ford,Corolla,2015,DA00334,Black,True
335,335,Hyundai,Civic,2019,DA00335,Blue,True
336,336,Toyota,Elantra,2019,DA00336,Black,True
337,337,Hyundai,Corolla,2018,DA00337,Blue,True
338,338,Ford,Civic,2024,DA00338,Black,True
339,339,Toyota,Elantra,2023,DA00339,Black,False
340,340,Toyota,Elantra,2016,DA00340,Silver,True
341,341,Toyota,Focus,2020,DA00341,Black,True
342,342,Ford,Civic,2019,DA00342,Silver,True
343,343,Honda,Elantra,2018,DA00343,Blue,True
344,344,Hyundai,Corolla,2024,DA00344,Blue,True
345,345,Toyota,Civic,2023,DA00345,Silver,True
346,346,Toyota,Elantra,2023,DA00346,Silver,True
347,347,Hyundai,Corolla,2018,DA00347,Black,True
348,348,Toyota,Elantra,2015,DA00348,Silver,True
349,349,Hyundai,Focus,2019,DA00349,Silver,False
350,350,Toyota,Civic,2021,DA00350,Black,True
351,351,Toyota,Civic,2023,DA00351,Black,True
352,352,Hyundai,Corolla,2018,DA00352,Black,False
353,353,Hyundai,Elantra,2018,DA00353,White,True
354,354,Hyundai,Corolla,2017,DA00354,White,True
355,355,Honda,Elantra,2024,DA00355,Silver,False
356,356,Honda,Corolla,2021,DA00356,Black,True
357,357,Toyota,Focus,2022,DA00357,White,True
358,358,Ford,Corolla,2017,DA00358,Blue,True
359,359,Ford,Focus,2024,DA00359,White,False
360,360,Ford,Corolla,2024,DA00360,Blue,True
361,361,Ford,Focus,2016,DA00361,White,True
362,362,Ford,Elantra,2019,DA00362,White,True
363,363,Hyundai,Civic,2015,DA00363,Blue,True
364,364,Ford,Civic,2020,DA00364,Black,True
365,365,Honda,Civic,2021,DA00365,Silver,True
366,366,Toyota,Civic,2018,DA00366,Blue,True
367,367,Ford,Civic,2017,DA00367,Silver,True
368,368,Honda,Elantra,2015,DA00368,Black,True
369,369,Honda,Corolla,2018,DA00369,Silver,True
370,370,Hyundai,Corolla,2023,DA00370,Silver,True
371,371,Ford,Focus,2023,DA00371,White,True
372,372,Toyota,Elantra,2019,DA00372,Blue,True
373,373,Ford,Elantra,2022,DA00373,Silver,True
374,374,Ford,Civic,2017,DA00374,Silver,True
375,375,Honda,Corolla,2021,DA00375,Blue,True
376,376,Ford,Elantra,2015,DA00376,White,True
377,377,Toyota,Civic,2017,DA00377,White,True
378,378,Honda,Corolla,2023,DA00378,Blue,True
379,379,Honda,Focus,2017,DA00379,Black,True
380,380,Honda,Focus,2019,DA00380,Silver,True
381,381,Hyundai,Focus,2024,DA00381,White,True
382,382,Honda,Corolla,2020,DA00382,White,True
383,383,Ford,Corolla,2015,DA00383,White,True
384,384,Honda,Focus,2017,DA00384,Black,True
385,385,Hyundai,Corolla,2019,DA00385,Blue,True
386,386,Toyota,Elantra,2023,DA00386,White,True
387,387,Ford,Elantra,2016,DA00387,Silver,True
388,388,Ford,Elantra,2016,DA00388,Black,True
389,389,Toyota,Civic,2018,DA00389,Black,True
390,390,Toyota,Corolla,2018,DA00390,Silver,True
391,391,Toyota,Corolla,2016,DA00391,Blue,True
392,392,Honda,Corolla,2018,DA00392,White,True
393,393,Ford,Civic,2019,DA00393,White,True
394,394,Hyundai,Corolla,2017,DA00394,Blue,True
395,395,Honda,Civic,2019,DA00395,Silver,True
396,396,Hyundai,Civic,2020,DA00396,Black,True
397,397,Toyota,Elantra,2022,DA00397,Blue,True
398,398,Toyota,Civic,2016,DA00398,Silver,True
399,399,Toyota,Corolla,2017,DA00399,Blue,True
400,400,Honda,Corolla,2017,DA00400,Blue,True
401,401,Ford,Focus,2021,DA00401,Black,True
402,402,Hyundai,Corolla,2016,DA00402,Black,True
403,403,Ford,Elantra,2016,DA00403,Blue,True
404,404,Honda,Civic,2020,DA00404,Silver,True
405,405,Honda,Elantra,2023,DA00405,Blue,True
406,406,Honda,Elantra,2015,DA00406,White,True
407,407,Ford,Elantra,2019,DA00407,Black,True
408,408,Honda,Civic,2024,DA00408,Blue,True
409,409,Toyota,Focus,2015,DA00409,Blue,True
410,410,Hyundai,Elantra,2024,DA00410,Blue,True
411,411,Honda,Civic,2024,DA00411,Black,True
412,412,Ford,Elantra,2019,DA00412,Blue,True
413,413,Honda,Civic,2024,DA00413,Black,False
414,414,Ford,Civic,2020,DA00414,Silver,True
415,415,Ford,Elantra,2018,DA00415,Blue,True
416,416,Honda,Corolla,2017,DA00416,Blue,False
417,417,Hyundai,Elantra,2021,DA00417,Blue,True
418,418,Ford,Focus,2018,DA00418,Black,True
419,419,Honda,Civic,2015,DA00419,Blue,True
420,420,Toyota,Focus,2024,DA00420,Silver,True
421,421,Honda,Elantra,2020,DA00421,Silver,True
422,422,Toyota,Civic,2020,DA00422,Silver,True
423,423,Toyota,Civic,2018,DA00423,Black,True
424,424,Honda,Elantra,2020,DA00424,Blue,False
425,425,Ford,Elantra,2024,DA00425,Blue,True
426,426,Ford,Focus,2018,DA00426,Silver,True
427,427,Honda,Civic,2019,DA00427,Silver,True
428,428,Honda,Civic,2017,DA00428,Silver,True
429,429,Hyundai,Civic,2021,DA00429,White,True
430,430,Toyota,Civic,2023,DA00430,Black,True
431,431,Toyota,Civic,2020,DA00431,Black,True
432,432,Ford,Civic,2019,DA00432,Black,True
433,433,Toyota,Focus,2015,DA00433,Black,True
434,434,Ford,Elantra,2019,DA00434,White,True
435,435,Hyundai,Corolla,2021,DA00435,Silver,False
436,436,Honda,Corolla,2021,DA00436,Silver,True
437,437,Ford,Focus,2018,DA00437,White,True
438,438,Honda,Elantra,2015,DA00438,Silver,True
439,439,Toyota,Civic,2022,DA00439,Silver,True
440,440,Ford,Corolla,2020,DA00440,White,True
441,441,Hyundai,Focus,2017,DA00441,Blue,True
442,442,Hyundai,Corolla,2015,DA00442,Black,True
443,443,Toyota,Corolla,2017,DA00443,Silver,True
444,444,Hyundai,Elantra,2016,DA00444,Silver,True
445,445,Toyota,Elantra,2015,DA00445,White,False
446,446,Hyundai,Civic,2024,DA00446,Blue,True
447,447,Ford,Civic,2020,DA00447,Black,False
448,448,Ford,Corolla,2018,DA00448,Black,True
449,449,Honda,Focus,2018,DA00449,White,True
450,450,Hyundai,Civic,2023,DA00450,Blue,False
451,451,Honda,Elantra,2022,DA00451,Silver,True
452,452,Honda,Focus,2018,DA00452,Blue,True
453,453,Honda,Civic,2016,DA00453,Silver,True
454,454,Honda,Civic,2015,DA00454,White,True
455,455,Honda,Focus,2021,DA00455,Blue,True
456,456,Ford,Civic,2018,DA00456,White,False
457,457,Toyota,Focus,2016,DA00457,Blue,True
458,458,Ford,Focus,2017,DA00458,White,True
459,459,Hyundai,Corolla,2016,DA00459,Silver,True
460,460,Honda,Civic,2024,DA00460,Black,True
461,461,Ford,Civic,2018,DA00461,Black,True
462,462,Hyundai,Focus,2018,DA00462,Blue,True
463,463,Toyota,Corolla,2021,DA00463,Silver,True
464,464,Honda,Focus,2016,DA00464,Silver,True
465,465,Honda,Corolla,2018,DA00465,White,True
466,466,Honda,Focus,2023,DA00466,Silver,True
467,467,Hyundai,Corolla,2019,DA00467,Blue,True
468,468,Hyundai,Elantra,2020,DA00468,White,True
469,469,Honda,Focus,2017,DA00469,Black,True
470,470,Hyundai,Civic,2021,DA00470,Silver,False
471,471,Hyundai,Focus,2016,DA00471,White,True
472,472,Toyota,Focus,2019,DA00472,Black,True
473,473,Ford,Elantra,2023,DA00473,White,False
474,474,Hyundai,Focus,2015,DA00474,Black,True
475,475,Honda,Elantra,2015,DA00475,White,True
476,476,Toyota,Focus,2016,DA00476,Black,True
477,477,Honda,Elantra,2024,DA00477,Blue,True
478,478,Hyundai,Focus,2017,DA00478,Blue,True
479,479,Toyota,Corolla,2021,DA00479,Silver,True
480,480,Ford,Corolla,2021,DA00480,Blue,True
481,481,Hyundai,Elantra,2022,DA00481,Silver,True
482,482,Honda,Elantra,2024,DA00482,Blue,True
483,483,Toyota,Civic,2018,DA00483,White,True
484,484,Hyundai,Corolla,2016,DA00484,Blue,False
485,485,Hyundai,Elantra,2016,DA00485,Blue,False
486,486,Ford,Civic,2023,DA00486,Silver,True
487,487,Hyundai,Focus,2021,DA00487,Black,True
488,488,Toyota,Corolla,2023,DA00488,Silver,True
489,489,Ford,Corolla,2021,DA00489,Black,True
490,490,Honda,Corolla,2023,DA00490,Blue,True
491,491,Hyundai,Civic,2019,DA00491,Black,True
492,492,Hyundai,Elantra,2016,DA00492,Silver,True
493,493,Honda,Corolla,2020,DA00493,Blue,True
494,494,Toyota,Focus,2015,DA00494,Blue,True
495,495,Honda,Civic,2018,DA00495,Silver,True
496,496,Hyundai,Civic,2016,DA00496,White,False
497,497,Hyundai,Corolla,2015,DA00497,White,True
498,498,Ford,Focus,2016,DA00498,White,True
499,499,Honda,Civic,2022,DA00499,White,True
500,500,Toyota,Corolla,2018,DA00500,Silver,True
501,501,Honda,Corolla,2018,DA00501,Silver,False
502,502,Toyota,Corolla,2024,DA00502,Blue,True
503,503,Hyundai,Corolla,2023,DA00503,Blue,True
504,504,Hyundai,Elantra,2021,DA00504,Blue,True
505,505,Honda,Corolla,2021,DA00505,Black,True
506,506,Ford,Corolla,2017,DA00506,Blue,True
507,507,Hyundai,Focus,2016,DA00507,Silver,True
508,508,Ford,Elantra,2020,DA00508,Blue,True
509,509,Toyota,Elantra,2017,DA00509,Black,True
510,510,Toyota,Focus,2023,DA00510,Silver,True
511,511,Toyota,Elantra,2017,DA00511,Black,True
512,512,Toyota,Civic,2018,DA00512,Black,True
513,513,Ford,Corolla,2018,DA00513,Black,True
514,514,Toyota,Civic,2016,DA00514,Blue,True
515,515,Honda,Corolla,2015,DA00515,Silver,True
516,516,Hyundai,Focus,2024,DA00516,Silver,False
517,517,Ford,Focus,2018,DA00517,White,True
518,518,Honda,Civic,2017,DA00518,Silver,True
519,519,Ford,Civic,2021,DA00519,Black,True
520,520,Honda,Elantra,2017,DA00520,Silver,True
521,521,Ford,Civic,2021,DA00521,White,True
522,522,Toyota,Corolla,2022,DA00522,Black,True
523,523,Ford,Elantra,2019,DA00523,Black,False
524,524,Hyundai,Elantra,2017,DA00524,White,True
